                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1359,                0.88732,                 1.0613,                0.88365,                0.93167,                0.96297,                0.68474,                 1.0633,                0.85427,                 1.0367,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.0635,                0.84325,                 1.0263,                0.90654,                0.92378,                0.96126,                0.64538,                 1.1733,                0.85312,                 1.0806,                0.00703,                0.00703,                0.00703
                     62,                 1.0666,                0.84533,                 1.0015,                0.91301,                 0.9385,                0.96269,                0.69564,                 1.0434,                0.81154,                 1.0198,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.0251,                0.88499,                 1.0117,                0.88937,                0.88459,                0.94799,                0.69137,                 1.0189,                0.92658,                  1.012,               0.006931,               0.006931,               0.006931
                     64,                 1.0172,                0.85204,                 1.0156,                0.94246,                0.93931,                0.97461,                0.68611,                  1.067,                0.79846,                 1.0243,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.0489,                 0.8024,                 1.0043,                 0.9425,                 0.9346,                0.96801,                0.70416,                 1.0334,                0.77896,                 1.0131,               0.006832,               0.006832,               0.006832
                     66,                  1.014,                0.84342,                 1.0139,                 0.8655,                0.92884,                0.95939,                0.67832,                 1.0714,                0.88582,                 1.0357,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.0143,                0.81231,                  1.003,                0.89422,                0.89895,                0.95393,                0.68005,                 1.0433,                0.82703,                 1.0285,               0.006733,               0.006733,               0.006733
                     68,                 1.1014,                0.81866,                0.99944,                0.89151,                0.85469,                0.94063,                0.66605,                 1.0593,                0.90415,                  1.039,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0377,                0.82352,                 1.0083,                0.90059,                 0.9056,                0.94898,                0.69485,                 1.0155,                 0.8407,                 1.0071,               0.006634,               0.006634,               0.006634
                     70,                 1.0169,                0.81213,                0.98276,                0.90804,                0.95035,                0.97199,                0.71084,                 1.0151,                0.77641,                 1.0136,              0.0065845,              0.0065845,              0.0065845
                     71,                0.97155,                0.79279,                 0.9772,                0.93893,                0.92746,                0.96584,                0.69896,                0.99255,                0.76556,                0.99661,               0.006535,               0.006535,               0.006535
                     72,                0.99468,                0.77945,                0.98906,                0.92316,                0.95634,                 0.9735,                0.67706,                 1.0866,                0.81877,                 1.0459,              0.0064855,              0.0064855,              0.0064855
                     73,                0.93771,                0.77073,                0.98767,                0.90079,                0.93808,                0.96723,                0.70104,                0.98665,                0.79396,                  1.014,               0.006436,               0.006436,               0.006436
                     74,                0.96408,                0.84188,                  1.021,                0.93603,                0.89416,                0.94648,                0.63657,                 1.1627,                0.88762,                 1.0747,              0.0063865,              0.0063865,              0.0063865
                     75,                0.94803,                0.75461,                0.97458,                0.96097,                0.94697,                0.97427,                0.67308,                 1.0892,                0.78162,                 1.0458,               0.006337,               0.006337,               0.006337
